headline,abstract,id,content,cond,time,content_true
Low-Fat Diet May Ease Hot Flashes,"A study suggests that weight loss with a low-fat, high fruit and vegetable diet may help reduce or eliminate hot flashes and night sweats associated with menopause.",15,Fitness,Friend,12,0
Curbing the Enthusiasm on Daily Multivitamins,Experts are concerned about letting optimism about the potential benefits of nutritional supplements get ahead of the scientific evidence.,325,Science,Read,10,1
Really? Dieting Is a Short-lived New Year's Resolution,"A study of Google searches on diet-related keywords indicates that people are more likely to consider dieting in December and January, but interest drops off sharply thereafter.",558,Fitness,Content,12,1
BPA Levels Tied to Obesity in Youths,"A study has found that the risk of obesity is higher among children with high urinary levels of the chemical, which is widely used in food packaging.",241,Disease,Wall,10,1
Really? Timing of Meals Affects Weight Loss,"Studies suggest that eating at later hours, especially main meals, can affect efforts to lose weight.",691,Nutrition,Wall,8,1
"The 10-Minute Workout, Times Three","A 10-minute brisk walk three times a day proved more effective than a single 30-minute workout at keeping blood pressure in a healthy range, researchers at Arizona State University report.",46,Fitness,Read,12,1
Fitness May Lower Dementia Risk,"Being physically fit in midlife is associated with a lower risk of dementia in old age, a new study reports.",705,Age,Content,10,1
Live as Long as an Olympian,"Olympic athletes live longer, on average, than most of us. But certain sports, two new studies suggest, may be better than others when it comes to extending lifespan.",530,Fitness,Friend,10,1
Obese Children Less Sensitive to Taste,"A connection is not clear, but German researchers suggested that the hormone leptin might affect both body weight and taste buds.",261,Well-being,Wall,10,0
Strategies for Hot-Weather Exercise,"A chilled collar or an icy drink can help keep an athlete cool in hot weather. Dousing the head with water may provide added benefits, a new study found.",113,Fitness,Friend,10,1
Caffeine Linked to Lower Birth Weight Babies,"Drinking caffeinated beverages while pregnant may raise the risk of having a lower birth weight baby, a new study found.",738,Science,Content,10,0
Fitness Center in a Hotel Room,A businesswoman's need for a workout routine leads a personal trainer to incorporate a bathtub's edge and a travel iron into a 30-minute exercise regimen.,633,Fitness,Read,12,1
Really? Probiotic Supplements Can Lower Cholesterol,"Probiotics may improve digestive health, but it is not yet clear whether they can reduce cholesterol levels.",728,Cancer,Content,8,0
"For Omega-3s, Fish May Beat Pills","Taking supplements of omega-3 fatty acids does not have the same effect of reducing the risk of stroke as eating fish high in omega-3s, a study shows.",372,Age,Wall,12,0
Really? Bright Light and Exercise Trigger Migraines,"A study published in the journal Neurology found that unlike exercise, bright light may not be a cause of migraines. But more research is needed.",671,Age,Friend,12,0
Eggs Regain Reputation,A new analysis adds to the evidence that eggs are not the dietary sin doctors once thought they were.,667,Cancer,Read,8,0
